name,final,delta_final,base_fade_pnl,pol_fade_pnl,delta_fade,base_non_fade,pol_non_fade,delta_non_fade,losing_fade_days,improved_losing,pf,trades,blocked
fade_e5_blk,2076360.0,-78045.0,2104156.0,2026108.0,-78048.0,40248.0,40248.0,0.0,41,12,1.79,387,11
BASELINE,2034178.0,-120227.0,2104156.0,1983926.0,-120230.0,40248.0,40248.0,0.0,41,9,1.77,391,0
slcd6,2027432.0,-126973.0,2104156.0,1982281.0,-121875.0,40248.0,35149.0,-5099.0,41,17,1.84,357,53
fade_e5_mr_adx25,2008863.0,-145542.0,2104156.0,1958613.0,-145543.0,40248.0,40248.0,0.0,41,11,1.75,390,6
fade_e5_LH_mr,2000480.0,-153925.0,2104156.0,1950228.0,-153928.0,40248.0,40248.0,0.0,41,12,1.76,385,15
adx25_blk,1993749.0,-160656.0,2104156.0,1943498.0,-160658.0,40248.0,40248.0,0.0,41,14,1.77,383,13
fade_e4_t11,1917703.0,-236702.0,2104156.0,1867451.0,-236705.0,40248.0,40248.0,0.0,41,12,1.74,376,26
adx25_mr,1884733.0,-269672.0,2104156.0,1834481.0,-269675.0,40248.0,40248.0,0.0,41,16,1.74,376,15
slcd6_mr,1862681.0,-291724.0,2104156.0,1817531.0,-286625.0,40248.0,35149.0,-5099.0,41,23,1.84,343,51
postSL,1824949.0,-329456.0,2104156.0,1774697.0,-329459.0,40248.0,40248.0,0.0,41,16,1.74,348,61
hybrid_v1,1813363.0,-341042.0,2104156.0,1768213.0,-335943.0,40248.0,35149.0,-5099.0,41,23,1.79,340,64
postSL+slcd6,1804371.0,-350034.0,2104156.0,1759222.0,-344934.0,40248.0,35149.0,-5099.0,41,22,1.77,327,94
fade_e4_blk,1791216.0,-363189.0,2104156.0,1751036.0,-353120.0,40248.0,30179.0,-10069.0,41,20,1.7,370,50
only_postSL_slcd6_mr,1793002.0,-361403.0,2104156.0,1747853.0,-356303.0,40248.0,35149.0,-5099.0,41,22,1.76,328,96
postSL_mr,1753422.0,-400983.0,2104156.0,1703171.0,-400985.0,40248.0,40248.0,0.0,41,18,1.73,341,64
hybrid_v4,1670609.0,-483796.0,2104156.0,1625461.0,-478695.0,40248.0,35149.0,-5099.0,41,24,1.74,319,97
hybrid_v5,1670609.0,-483796.0,2104156.0,1625461.0,-478695.0,40248.0,35149.0,-5099.0,41,24,1.74,319,97
fade_blk_postSL,1659201.0,-495204.0,2104156.0,1624152.0,-480004.0,40248.0,25047.0,-15201.0,41,27,1.74,320,109
mr_e4,1620167.0,-534238.0,2104156.0,1579988.0,-524168.0,40248.0,30179.0,-10069.0,41,24,1.69,354,48
