name,final,pnl,trades,wr,pf,blocked,fade_days,fade_day_pnl,non_fade_pnl
BASELINE,2154405.0,2144405.0,382,55.2,1.86,0,0,0.0,2144405.0
postSL_only,1824949.0,1814949.0,348,52.9,1.74,61,0,0.0,1814945.0
slcd6_only,2027432.0,2017432.0,357,55.5,1.84,53,0,0.0,2017430.0
postSL+slcd6,1804371.0,1794371.0,327,53.5,1.77,94,0,0.0,1794371.0
fade_blk_e4,1791216.0,1781216.0,370,53.5,1.7,50,94,1641568.0,139647.0
fade_blk_LH_e4,1791216.0,1781216.0,370,53.5,1.7,50,94,1641568.0,139647.0
fade_blk_t11_e4,1917703.0,1907703.0,376,53.7,1.74,26,94,1761599.0,146100.0
fade_blk_e5,2076360.0,2066360.0,387,54.5,1.79,11,10,123528.0,1942828.0
fade_blk_LH_e5,2076360.0,2066360.0,387,54.5,1.79,11,10,123528.0,1942828.0
fade_blk_t11_e5,2023156.0,2013156.0,387,54.3,1.77,6,10,108594.0,1904558.0
adx25_blk,1993749.0,1983749.0,383,53.8,1.77,13,63,1359590.0,624156.0
adx25_mr,1884733.0,1874733.0,376,53.5,1.74,15,63,1312720.0,562009.0
adx28_blk,2000465.0,1990465.0,388,54.1,1.77,20,73,1490784.0,499680.0
adx28_mr,1824486.0,1814486.0,373,53.6,1.76,21,73,1362957.0,451528.0
mr_fade_e3,1534139.0,1524139.0,328,52.4,1.67,86,97,1499093.0,25047.0
mr_fade_e4,1620167.0,1610167.0,354,52.8,1.69,48,94,1470520.0,139647.0
mr_fade_adx25,1884733.0,1874733.0,376,53.5,1.74,15,63,1312720.0,562009.0
hybrid_v1,1813363.0,1803363.0,340,54.4,1.79,64,63,1183832.0,619530.0
hybrid_v2,1927843.0,1917843.0,343,54.8,1.83,66,60,1295079.0,622762.0
hybrid_v3,2008863.0,1998863.0,390,54.1,1.75,6,6,34694.0,1964167.0
hybrid_v4,1670609.0,1660609.0,319,53.0,1.74,97,73,1223850.0,436760.0
hybrid_v5,1670609.0,1660609.0,319,53.0,1.74,97,63,1029917.0,630693.0
hybrid_v6,1903616.0,1893616.0,342,54.7,1.82,67,63,1237838.0,655775.0
