name,final,delta_cap,lose_base,lose_pol,delta_lose,win_fade_base,win_fade_pol,delta_win_fade,fixed_losing,broken_winning,n_losing,pf,blocked,trades,score
fade_e5_blk,2076360.0,-78045.0,-839568.0,-844334.0,-4766.0,2943724.0,2870442.0,-73282.0,12,15,41,1.79,11,387,-59533.045
fade_e5_LH,2076360.0,-78045.0,-839568.0,-844334.0,-4766.0,2943724.0,2870442.0,-73282.0,12,15,41,1.79,11,387,-59533.045
slcd6_mr_e5,2023991.0,-130414.0,-839568.0,-775454.0,64114.0,2943724.0,2754295.0,-189429.0,18,26,41,1.83,57,357,-66045.91399999999
slcd6,2027432.0,-126973.0,-839568.0,-786215.0,53353.0,2943724.0,2768496.0,-175228.0,17,25,41,1.84,53,357,-71262.973
adx28_e5_blk,2070391.0,-84014.0,-839568.0,-850892.0,-11324.0,2943724.0,2871031.0,-72693.0,11,14,41,1.78,4,392,-76771.514
fade_e5_t1130,2031584.0,-122821.0,-839568.0,-850840.0,-11272.0,2943724.0,2832172.0,-111552.0,11,15,41,1.77,5,388,-134994.821
baseline,2034178.0,-120227.0,-839568.0,-871322.0,-31754.0,2943724.0,2855248.0,-88476.0,9,14,41,1.77,0,391,-151342.227
fade_e5_pb_only,2021739.0,-132666.0,-839568.0,-860685.0,-21117.0,2943724.0,2832172.0,-111552.0,11,15,41,1.77,10,388,-154694.666
adx25_e5_blk,2012304.0,-142101.0,-839568.0,-865409.0,-25841.0,2943724.0,2827462.0,-116262.0,10,14,41,1.75,3,390,-176217.101
fade_e4_pts50,1891815.0,-262590.0,-839568.0,-725823.0,113745.0,2943724.0,2577457.0,-366267.0,20,28,41,1.74,37,377,-222173.09000000003
fade_e4_t11,1917703.0,-236702.0,-839568.0,-848416.0,-8848.0,2943724.0,2715867.0,-227857.0,12,17,41,1.74,26,376,-299718.202
fade_e5_postSL_slcd6,1804371.0,-350034.0,-839568.0,-635814.0,203754.0,2943724.0,2395036.0,-548688.0,22,34,41,1.77,94,327,-305874.034
postSL+slcd6,1804371.0,-350034.0,-839568.0,-635814.0,203754.0,2943724.0,2395036.0,-548688.0,22,34,41,1.77,94,327,-305874.034
postSL,1824949.0,-329456.0,-839568.0,-729130.0,110438.0,2943724.0,2503827.0,-439897.0,16,27,41,1.74,61,348,-359298.956
fade_e5_postSL,1824949.0,-329456.0,-839568.0,-729130.0,110438.0,2943724.0,2503827.0,-439897.0,16,27,41,1.74,61,348,-359298.956
fade_e4_postSL,1824949.0,-329456.0,-839568.0,-729130.0,110438.0,2943724.0,2503827.0,-439897.0,16,27,41,1.74,61,348,-359298.956
postSL_mr_e5,1813580.0,-340825.0,-839568.0,-729130.0,110438.0,2943724.0,2492458.0,-451266.0,16,27,41,1.73,63,349,-376363.825
